benchmark,loops
./DRB001-antidep1-orig-yes.c,2
./DRB002-antidep1-var-yes.c,3
./DRB003-antidep2-orig-yes.c,4
./DRB004-antidep2-var-yes.c,6
./DRB005-indirectaccess1-orig-yes.c,2
./DRB006-indirectaccess2-orig-yes.c,2
./DRB007-indirectaccess3-orig-yes.c,2
./DRB008-indirectaccess4-orig-yes.c,2
./DRB009-lastprivatemissing-orig-yes.c,1
./DRB010-lastprivatemissing-var-yes.c,1
./DRB011-minusminus-orig-yes.c,2
./DRB012-minusminus-var-yes.c,2
./DRB013-nowait-orig-yes.c,2
./DRB016-outputdep-orig-yes.c,1
./DRB017-outputdep-var-yes.c,1
./DRB018-plusplus-orig-yes.c,2
./DRB019-plusplus-var-yes.c,2
./DRB020-privatemissing-var-yes.c,3
./DRB021-reductionmissing-orig-yes.c,4
./DRB022-reductionmissing-var-yes.c,4
./DRB024-simdtruedep-orig-yes.c,3
./DRB025-simdtruedep-var-yes.c,3
./DRB026-targetparallelfor-orig-yes.c,3
./DRB028-privatemissing-orig-yes.c,2
./DRB029-truedep1-orig-yes.c,2
./DRB030-truedep1-var-yes.c,3
./DRB031-truedepfirstdimension-orig-yes.c,4
./DRB032-truedepfirstdimension-var-yes.c,6
./DRB033-truedeplinear-orig-yes.c,2
./DRB034-truedeplinear-var-yes.c,3
./DRB035-truedepscalar-orig-yes.c,1
./DRB036-truedepscalar-var-yes.c,2
./DRB037-truedepseconddimension-orig-yes.c,4
./DRB038-truedepseconddimension-var-yes.c,6
./DRB039-truedepsingleelement-orig-yes.c,1
./DRB040-truedepsingleelement-var-yes.c,3
./DRB041-3mm-parallel-no.c,136
./DRB043-adi-parallel-no.c,15
./DRB044-adi-tile-no.c,31
./DRB045-doall1-orig-no.c,3
./DRB046-doall2-orig-no.c,6
./DRB047-doallchar-orig-no.c,3
./DRB048-firstprivate-orig-no.c,3
./DRB049-fprintf-orig-no.c,2
./DRB050-functionparameter-orig-no.c,3
./DRB052-indirectaccesssharebase-orig-no.c,3
./DRB053-inneronly1-orig-no.c,6
./DRB054-inneronly2-orig-no.c,6
./DRB055-jacobi2d-parallel-no.c,11
./DRB056-jacobi2d-tile-no.c,18
./DRB057-jacobiinitialize-orig-no.c,4
./DRB058-jacobikernel-orig-no.c,7
./DRB059-lastprivate-orig-no.c,1
./DRB060-matrixmultiply-orig-no.c,7
./DRB061-matrixvector1-orig-no.c,6
./DRB062-matrixvector2-orig-no.c,6
./DRB063-outeronly1-orig-no.c,6
./DRB064-outeronly2-orig-no.c,6
./DRB065-pireduction-orig-no.c,1
./DRB066-pointernoaliasing-orig-no.c,2
./DRB067-restrictpointer1-orig-no.c,2
./DRB068-restrictpointer2-orig-no.c,3
./DRB070-simd1-orig-no.c,3
./DRB071-targetparallelfor-orig-no.c,3
./DRB073-doall2-orig-yes.c,6
./DRB084-threadprivatemissing-orig-yes.c,2
./DRB085-threadprivate-orig-no.c,2
./DRB090-static-local-orig-yes.c,3
./DRB091-threadprivate2-orig-no.c,2
./DRB092-threadprivatemissing2-orig-yes.c,2
./DRB093-doall2-collapse-orig-no.c,6
./DRB094-doall2-ordered-orig-no.c,4
./DRB095-doall2-taskloop-orig-yes.c,4
./DRB096-doall2-taskloop-collapse-orig-no.c,4
./DRB097-target-teams-distribute-orig-no.c,4
./DRB098-simd2-orig-no.c,4
./DRB099-targetparallelfor2-orig-no.c,2
./DRB104-nowait-barrier-orig-no.c,2
./DRB109-orderedmissing-orig-yes.c,1
./DRB110-ordered-orig-no.c,1
./DRB111-linearmissing-orig-yes.c,2
./DRB112-linear-orig-no.c,2
./DRB113-default-orig-no.c,8
./DRB114-if-orig-yes.c,2
./DRB041-3mm-parallel-no.c,137
./DRB043-adi-parallel-no.c,16
./DRB044-adi-tile-no.c,32
./DRB055-jacobi2d-parallel-no.c,12
./DRB056-jacobi2d-tile-no.c,19
./BT,226
./CG,43
./EP,12
./FT,54
./IS,15
./LU,190
./MG,81
./SP,317
./b+tree,15
./bfs,8
./cfd,41
./heartwall,81
./hotspot,9
./hotspot3D,15
