benchmark,loops,positive_loops,negative_loops
./DRB001-antidep1-orig-yes.c,2,1,1
./DRB002-antidep1-var-yes.c,3,1,2
./DRB003-antidep2-orig-yes.c,4,3,1
./DRB004-antidep2-var-yes.c,6,3,3
./DRB005-indirectaccess1-orig-yes.c,2,1,1
./DRB006-indirectaccess2-orig-yes.c,2,1,1
./DRB007-indirectaccess3-orig-yes.c,2,1,1
./DRB008-indirectaccess4-orig-yes.c,2,1,1
./DRB009-lastprivatemissing-orig-yes.c,1,1,0
./DRB010-lastprivatemissing-var-yes.c,1,1,0
./DRB011-minusminus-orig-yes.c,2,2,0
./DRB012-minusminus-var-yes.c,2,2,0
./DRB013-nowait-orig-yes.c,2,2,0
./DRB016-outputdep-orig-yes.c,1,0,1
./DRB017-outputdep-var-yes.c,1,0,1
./DRB018-plusplus-orig-yes.c,2,1,1
./DRB019-plusplus-var-yes.c,2,1,1
./DRB020-privatemissing-var-yes.c,3,2,1
./DRB021-reductionmissing-orig-yes.c,4,4,0
./DRB022-reductionmissing-var-yes.c,4,4,0
./DRB024-simdtruedep-orig-yes.c,3,1,2
./DRB025-simdtruedep-var-yes.c,3,1,2
./DRB026-targetparallelfor-orig-yes.c,3,1,2
./DRB028-privatemissing-orig-yes.c,2,2,0
./DRB029-truedep1-orig-yes.c,2,1,1
./DRB030-truedep1-var-yes.c,3,1,2
./DRB031-truedepfirstdimension-orig-yes.c,4,3,1
./DRB032-truedepfirstdimension-var-yes.c,6,3,3
./DRB033-truedeplinear-orig-yes.c,2,1,1
./DRB034-truedeplinear-var-yes.c,3,1,2
./DRB035-truedepscalar-orig-yes.c,1,0,1
./DRB036-truedepscalar-var-yes.c,2,0,2
./DRB037-truedepseconddimension-orig-yes.c,4,3,1
./DRB038-truedepseconddimension-var-yes.c,6,3,3
./DRB039-truedepsingleelement-orig-yes.c,1,0,1
./DRB040-truedepsingleelement-var-yes.c,3,0,3
./DRB041-3mm-parallel-no.c,136,134,2
./DRB043-adi-parallel-no.c,15,6,9
./DRB044-adi-tile-no.c,31,10,21
./DRB045-doall1-orig-no.c,3,2,1
./DRB046-doall2-orig-no.c,6,4,2
./DRB047-doallchar-orig-no.c,3,2,1
./DRB048-firstprivate-orig-no.c,3,2,1
./DRB049-fprintf-orig-no.c,2,1,1
./DRB050-functionparameter-orig-no.c,3,2,1
./DRB052-indirectaccesssharebase-orig-no.c,3,2,1
./DRB053-inneronly1-orig-no.c,6,3,3
./DRB054-inneronly2-orig-no.c,6,3,3
./DRB055-jacobi2d-parallel-no.c,11,5,6
./DRB056-jacobi2d-tile-no.c,18,5,13
./DRB057-jacobiinitialize-orig-no.c,4,2,2
./DRB058-jacobikernel-orig-no.c,7,6,1
./DRB059-lastprivate-orig-no.c,1,1,0
./DRB060-matrixmultiply-orig-no.c,7,3,4
./DRB061-matrixvector1-orig-no.c,6,4,2
./DRB062-matrixvector2-orig-no.c,6,4,2
./DRB063-outeronly1-orig-no.c,6,3,3
./DRB064-outeronly2-orig-no.c,6,3,3
./DRB065-pireduction-orig-no.c,1,1,0
./DRB066-pointernoaliasing-orig-no.c,2,1,1
./DRB067-restrictpointer1-orig-no.c,2,1,1
./DRB068-restrictpointer2-orig-no.c,3,2,1
./DRB070-simd1-orig-no.c,3,2,1
./DRB071-targetparallelfor-orig-no.c,3,2,1
./DRB073-doall2-orig-yes.c,6,4,2
./DRB084-threadprivatemissing-orig-yes.c,2,1,1
./DRB085-threadprivate-orig-no.c,2,2,0
./DRB090-static-local-orig-yes.c,3,3,0
./DRB091-threadprivate2-orig-no.c,2,2,0
./DRB092-threadprivatemissing2-orig-yes.c,2,2,0
./DRB093-doall2-collapse-orig-no.c,6,4,2
./DRB094-doall2-ordered-orig-no.c,4,2,2
./DRB095-doall2-taskloop-orig-yes.c,4,4,0
./DRB096-doall2-taskloop-collapse-orig-no.c,4,4,0
./DRB097-target-teams-distribute-orig-no.c,4,4,0
./DRB098-simd2-orig-no.c,4,4,0
./DRB099-targetparallelfor2-orig-no.c,2,2,0
./DRB104-nowait-barrier-orig-no.c,2,2,0
./DRB109-orderedmissing-orig-yes.c,1,1,0
./DRB110-ordered-orig-no.c,1,1,0
./DRB111-linearmissing-orig-yes.c,2,2,0
./DRB112-linear-orig-no.c,2,2,0
./DRB113-default-orig-no.c,8,6,2
./DRB114-if-orig-yes.c,2,1,1
./DRB041-3mm-parallel-no.c,137,135,2
./DRB043-adi-parallel-no.c,16,7,9
./DRB044-adi-tile-no.c,32,11,21
./DRB055-jacobi2d-parallel-no.c,12,6,6
./DRB056-jacobi2d-tile-no.c,19,6,13
./BT,226,158,68
./CG,43,18,25
./EP,12,6,6
./FT,54,23,31
./IS,15,4,11
./LU,190,117,73
./MG,81,30,51
./SP,317,231,86
./b+tree,15,2,13
./bfs,8,0,8
./cfd,41,0,41
./heartwall,81,10,71
./hotspot,9,0,9
./hotspot3D,15,2,13
